,price,date
77,10.58,2020-06-01
76,10.70,2020-06-02
75,10.97,2020-06-03
74,11.10,2020-06-04
73,11.05,2020-06-05
72,11.44,2020-06-08
71,11.50,2020-06-09
70,11.77,2020-06-10
69,11.44,2020-06-11
68,11.43,2020-06-12
67,11.55,2020-06-15
66,11.43,2020-06-16
65,11.77,2020-06-17
64,11.27,2020-06-18
63,11.05,2020-06-19
62,10.95,2020-06-22
61,11.01,2020-06-23
60,10.90,2020-06-24
59,10.89,2020-06-29
58,10.99,2020-06-30
57,10.80,2020-07-01
56,10.83,2020-07-02
55,11.06,2020-07-03
54,11.16,2020-07-06
53,11.37,2020-07-07
52,11.43,2020-07-08
51,11.44,2020-07-09
50,11.72,2020-07-10
49,12.91,2020-07-13
48,13.53,2020-07-14
47,13.06,2020-07-15
46,12.10,2020-07-16
45,11.58,2020-07-17
44,12.07,2020-07-20
43,12.16,2020-07-21
42,12.60,2020-07-22
41,12.54,2020-07-23
40,12.32,2020-07-24
39,11.78,2020-07-27
38,11.80,2020-07-28
37,12.44,2020-07-29
36,12.40,2020-07-30
35,12.77,2020-07-31
34,12.87,2020-08-03
33,13.29,2020-08-04
32,13.18,2020-08-05
31,12.98,2020-08-06
30,12.80,2020-08-07
29,12.66,2020-08-10
28,12.99,2020-08-11
27,12.57,2020-08-12
26,12.14,2020-08-13
25,12.20,2020-08-14
24,12.24,2020-08-17
23,12.59,2020-08-18
22,12.40,2020-08-19
21,12.88,2020-08-20
20,12.22,2020-08-21
19,12.15,2020-08-24
18,11.91,2020-08-25
17,12.09,2020-08-26
16,11.90,2020-08-27
15,11.75,2020-08-28
14,12.00,2020-08-31
13,11.89,2020-09-01
12,11.90,2020-09-02
11,11.82,2020-09-03
10,11.65,2020-09-04
9,11.93,2020-09-07
8,11.50,2020-09-08
7,11.75,2020-09-09
6,11.44,2020-09-10
5,11.12,2020-09-11
4,11.14,2020-09-14
3,11.11,2020-09-15
2,10.94,2020-09-16
1,10.81,2020-09-17
0,10.73,2020-09-18
